,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly
60609,,,13.0,46.0,52.0,78.0,152.0,221.0,302.0,218.0,245.0,230.0,138.0,54.0,46.0,25.0,39.0,44.0,50.0,49.0,43.0,65.0,53.0,56.0,79.0,66.0,58.0,50.0,49.0,56.0,70.0,70.0,122.0,183.0,240.0,365.0,441.0,333.0,227.0,326.0,263.0,180.0,,,14.0,60.0,112.0,190.0,342.0,563.0,865.0,1083.0,1328.0,1558.0,1696.0,1750.0,1796.0,1821.0,1860.0,1904.0,1954.0,2003.0,2046.0,2111.0,2164.0,2220.0,2299.0,2365.0,2423.0,2473.0,2522.0,2578.0,2648.0,2718.0,2840.0,3023.0,3263.0,3628.0,4069.0,4402.0,4629.0,4955.0,5218.0,5398.0,,,21.1,74.8,84.6,126.8,247.2,359.4,491.1,354.5,398.4,374.0,224.4,87.8,74.8,40.7,63.4,71.6,81.3,79.7,69.9,105.7,86.2,91.1,128.5,107.3,94.3,81.3,79.7,91.1,113.8,113.8,198.4,297.6,390.3,593.5,717.1,541.5,369.1,530.1,427.7,292.7
60610,,5.0,24.0,34.0,19.0,15.0,15.0,22.0,22.0,22.0,29.0,24.0,17.0,11.0,6.0,9.0,26.0,23.0,27.0,22.0,27.0,20.0,22.0,20.0,37.0,18.0,33.0,35.0,45.0,35.0,34.0,46.0,59.0,84.0,184.0,221.0,254.0,179.0,92.0,118.0,105.0,71.0,,5.0,29.0,63.0,82.0,97.0,112.0,134.0,156.0,178.0,207.0,231.0,248.0,259.0,265.0,274.0,300.0,323.0,350.0,372.0,399.0,419.0,441.0,461.0,498.0,516.0,549.0,584.0,629.0,664.0,698.0,744.0,803.0,887.0,1071.0,1292.0,1546.0,1725.0,1817.0,1935.0,2040.0,2111.0,,12.8,61.5,87.1,48.7,38.4,38.4,56.4,56.4,56.4,74.3,61.5,43.6,28.2,15.4,23.1,66.6,58.9,69.2,56.4,69.2,51.3,56.4,51.3,94.8,46.1,84.6,89.7,115.3,89.7,87.1,117.9,151.2,215.3,471.6,566.4,651.0,458.8,235.8,302.4,269.1,182.0
60611,,,15.0,25.0,16.0,8.0,8.0,8.0,12.0,7.0,15.0,10.0,15.0,9.0,4.0,11.0,12.0,21.0,27.0,17.0,24.0,22.0,18.0,29.0,19.0,19.0,20.0,21.0,24.0,22.0,25.0,33.0,33.0,90.0,109.0,144.0,142.0,126.0,86.0,82.0,60.0,66.0,,,16.0,41.0,57.0,65.0,73.0,81.0,93.0,100.0,115.0,125.0,140.0,149.0,153.0,164.0,176.0,197.0,224.0,241.0,265.0,287.0,305.0,334.0,353.0,372.0,392.0,413.0,437.0,459.0,484.0,517.0,550.0,640.0,749.0,893.0,1035.0,1161.0,1247.0,1329.0,1389.0,1455.0,,,46.3,77.1,49.3,24.7,24.7,24.7,37.0,21.6,46.3,30.8,46.3,27.8,12.3,33.9,37.0,64.8,83.3,52.4,74.0,67.8,55.5,89.4,58.6,58.6,61.7,64.8,74.0,67.8,77.1,101.8,101.8,277.6,336.2,444.1,437.9,388.6,265.2,252.9,185.0,203.5
60612,,,19.0,62.0,54.0,70.0,64.0,80.0,69.0,86.0,77.0,64.0,26.0,24.0,12.0,7.0,16.0,19.0,26.0,19.0,19.0,17.0,16.0,24.0,18.0,32.0,18.0,16.0,22.0,17.0,16.0,41.0,42.0,93.0,111.0,165.0,234.0,245.0,144.0,180.0,154.0,111.0,,,19.0,81.0,135.0,205.0,269.0,349.0,418.0,504.0,581.0,645.0,671.0,695.0,707.0,714.0,730.0,749.0,775.0,794.0,813.0,830.0,846.0,870.0,888.0,920.0,938.0,954.0,976.0,993.0,1009.0,1050.0,1092.0,1185.0,1296.0,1461.0,1695.0,1940.0,2084.0,2264.0,2418.0,2529.0,,,55.4,180.7,157.4,204.0,186.5,233.2,201.1,250.6,224.4,186.5,75.8,69.9,35.0,20.4,46.6,55.4,75.8,55.4,55.4,49.5,46.6,69.9,52.5,93.3,52.5,46.6,64.1,49.5,46.6,119.5,122.4,271.1,323.5,480.9,682.0,714.1,419.7,524.6,448.8,323.5
60613,,5.0,25.0,33.0,52.0,33.0,36.0,37.0,66.0,31.0,14.0,17.0,13.0,16.0,14.0,10.0,19.0,27.0,24.0,32.0,28.0,27.0,30.0,20.0,29.0,25.0,32.0,19.0,44.0,35.0,50.0,57.0,94.0,112.0,159.0,200.0,283.0,184.0,124.0,137.0,132.0,93.0,,5.0,30.0,63.0,115.0,148.0,184.0,221.0,287.0,318.0,332.0,349.0,362.0,378.0,392.0,402.0,421.0,448.0,472.0,504.0,532.0,559.0,589.0,609.0,638.0,663.0,695.0,714.0,758.0,793.0,843.0,900.0,994.0,1106.0,1265.0,1465.0,1748.0,1932.0,2056.0,2193.0,2325.0,2418.0,,10.0,49.9,65.9,103.8,65.9,71.8,73.8,131.7,61.9,27.9,33.9,25.9,31.9,27.9,20.0,37.9,53.9,47.9,63.9,55.9,53.9,59.9,39.9,57.9,49.9,63.9,37.9,87.8,69.8,99.8,113.7,187.6,223.5,317.3,399.1,564.7,367.2,247.4,273.4,263.4,185.6
60614,,14.0,24.0,39.0,43.0,52.0,32.0,68.0,96.0,58.0,40.0,16.0,16.0,5.0,15.0,18.0,30.0,49.0,44.0,31.0,40.0,43.0,48.0,38.0,23.0,54.0,46.0,48.0,72.0,47.0,63.0,113.0,114.0,127.0,231.0,349.0,360.0,256.0,176.0,188.0,175.0,126.0,,14.0,38.0,77.0,120.0,172.0,204.0,272.0,368.0,426.0,466.0,482.0,498.0,503.0,518.0,536.0,566.0,615.0,659.0,690.0,730.0,773.0,821.0,859.0,882.0,936.0,982.0,1030.0,1102.0,1149.0,1212.0,1325.0,1439.0,1566.0,1797.0,2146.0,2506.0,2762.0,2938.0,3126.0,3301.0,3427.0,,19.6,33.7,54.7,60.3,72.9,44.9,95.4,134.6,81.3,56.1,22.4,22.4,7.0,21.0,25.2,42.1,68.7,61.7,43.5,56.1,60.3,67.3,53.3,32.3,75.7,64.5,67.3,101.0,65.9,88.3,158.5,159.9,178.1,323.9,489.4,504.9,359.0,246.8,263.6,245.4,176.7
60615,,,25.0,31.0,42.0,33.0,39.0,44.0,28.0,31.0,28.0,30.0,21.0,11.0,12.0,12.0,13.0,17.0,26.0,37.0,24.0,20.0,13.0,17.0,11.0,20.0,18.0,6.0,17.0,15.0,8.0,34.0,35.0,40.0,69.0,119.0,139.0,119.0,91.0,93.0,87.0,60.0,,,26.0,57.0,99.0,132.0,171.0,215.0,243.0,274.0,302.0,332.0,353.0,364.0,376.0,388.0,401.0,418.0,444.0,481.0,505.0,525.0,538.0,555.0,566.0,586.0,604.0,610.0,627.0,642.0,650.0,684.0,719.0,759.0,828.0,947.0,1086.0,1205.0,1296.0,1389.0,1476.0,1536.0,,,60.1,74.6,101.1,79.4,93.8,105.9,67.4,74.6,67.4,72.2,50.5,26.5,28.9,28.9,31.3,40.9,62.6,89.0,57.7,48.1,31.3,40.9,26.5,48.1,43.3,14.4,40.9,36.1,19.2,81.8,84.2,96.2,166.0,286.3,334.4,286.3,218.9,223.8,209.3,144.4
60616,,,11.0,35.0,52.0,53.0,46.0,39.0,33.0,36.0,57.0,31.0,30.0,18.0,11.0,8.0,23.0,25.0,34.0,23.0,22.0,20.0,24.0,25.0,39.0,32.0,31.0,28.0,24.0,27.0,28.0,37.0,74.0,127.0,129.0,209.0,208.0,191.0,112.0,166.0,119.0,197.0,,,14.0,49.0,101.0,154.0,200.0,239.0,272.0,308.0,365.0,396.0,426.0,444.0,455.0,463.0,486.0,511.0,545.0,568.0,590.0,610.0,634.0,659.0,698.0,730.0,761.0,789.0,813.0,840.0,868.0,905.0,979.0,1106.0,1235.0,1444.0,1652.0,1843.0,1955.0,2121.0,2240.0,2437.0,,,20.2,64.3,95.5,97.3,84.5,71.6,60.6,66.1,104.7,56.9,55.1,33.0,20.2,14.7,42.2,45.9,62.4,42.2,40.4,36.7,44.1,45.9,71.6,58.8,56.9,51.4,44.1,49.6,51.4,67.9,135.9,233.2,236.9,383.7,381.9,350.7,205.6,304.8,218.5,361.7
60617,,,22.0,84.0,100.0,89.0,65.0,99.0,152.0,128.0,140.0,131.0,69.0,35.0,42.0,32.0,43.0,43.0,66.0,95.0,92.0,123.0,73.0,81.0,85.0,80.0,68.0,42.0,69.0,55.0,84.0,112.0,169.0,169.0,272.0,393.0,511.0,458.0,286.0,426.0,314.0,231.0,,,24.0,108.0,208.0,297.0,362.0,461.0,613.0,741.0,881.0,1012.0,1081.0,1116.0,1158.0,1190.0,1233.0,1276.0,1342.0,1437.0,1529.0,1652.0,1725.0,1806.0,1891.0,1971.0,2039.0,2081.0,2150.0,2205.0,2289.0,2401.0,2570.0,2739.0,3011.0,3404.0,3915.0,4373.0,4659.0,5085.0,5399.0,5630.0,,,26.7,101.8,121.2,107.8,78.8,120.0,184.2,155.1,169.6,158.7,83.6,42.4,50.9,38.8,52.1,52.1,80.0,115.1,111.5,149.0,88.4,98.1,103.0,96.9,82.4,50.9,83.6,66.6,101.8,135.7,204.8,204.8,329.6,476.2,619.1,554.9,346.5,516.2,380.4,279.9
60618,,5.0,16.0,38.0,63.0,94.0,138.0,158.0,134.0,181.0,138.0,141.0,103.0,61.0,55.0,50.0,51.0,37.0,43.0,47.0,37.0,65.0,81.0,91.0,88.0,69.0,84.0,51.0,65.0,64.0,71.0,118.0,162.0,211.0,320.0,390.0,511.0,396.0,283.0,386.0,310.0,208.0,,6.0,22.0,60.0,123.0,217.0,355.0,513.0,647.0,828.0,966.0,1107.0,1210.0,1271.0,1326.0,1376.0,1427.0,1464.0,1507.0,1554.0,1591.0,1656.0,1737.0,1828.0,1916.0,1985.0,2069.0,2120.0,2185.0,2249.0,2320.0,2438.0,2600.0,2811.0,3131.0,3521.0,4032.0,4428.0,4711.0,5097.0,5407.0,5615.0,,5.3,17.0,40.3,66.7,99.6,146.2,167.4,142.0,191.7,146.2,149.4,109.1,64.6,58.3,53.0,54.0,39.2,45.6,49.8,39.2,68.9,85.8,96.4,93.2,73.1,89.0,54.0,68.9,67.8,75.2,125.0,171.6,223.5,339.0,413.2,541.3,419.5,299.8,408.9,328.4,220.4
