,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_weekly,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,cases_cumulative,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly,case_rate_weekly
60619,,,28.0,98.0,112.0,96.0,92.0,120.0,82.0,72.0,62.0,60.0,47.0,26.0,26.0,22.0,30.0,32.0,54.0,36.0,43.0,45.0,31.0,34.0,32.0,35.0,28.0,24.0,20.0,26.0,38.0,44.0,61.0,86.0,128.0,196.0,226.0,233.0,117.0,168.0,167.0,139.0,,,31.0,129.0,241.0,337.0,429.0,549.0,631.0,703.0,765.0,825.0,872.0,898.0,924.0,946.0,976.0,1008.0,1062.0,1098.0,1141.0,1186.0,1217.0,1251.0,1283.0,1318.0,1346.0,1370.0,1390.0,1416.0,1454.0,1498.0,1559.0,1645.0,1773.0,1969.0,2195.0,2428.0,2545.0,2713.0,2880.0,3019.0,,,45.7,160.0,182.8,156.7,150.2,195.9,133.9,117.5,101.2,97.9,76.7,42.4,42.4,35.9,49.0,52.2,88.2,58.8,70.2,73.5,50.6,55.5,52.2,57.1,45.7,39.2,32.6,42.4,62.0,71.8,99.6,140.4,209.0,320.0,368.9,380.4,191.0,274.2,272.6,226.9
60620,,4.0,31.0,108.0,136.0,126.0,90.0,185.0,78.0,94.0,80.0,79.0,53.0,37.0,30.0,28.0,25.0,26.0,48.0,64.0,59.0,41.0,62.0,43.0,29.0,34.0,37.0,25.0,28.0,26.0,25.0,43.0,73.0,119.0,178.0,238.0,271.0,220.0,169.0,212.0,200.0,156.0,,5.0,36.0,144.0,280.0,406.0,496.0,681.0,759.0,853.0,933.0,1012.0,1065.0,1102.0,1132.0,1160.0,1185.0,1211.0,1259.0,1323.0,1382.0,1423.0,1485.0,1528.0,1557.0,1591.0,1628.0,1653.0,1681.0,1707.0,1732.0,1775.0,1848.0,1967.0,2145.0,2383.0,2654.0,2874.0,3043.0,3255.0,3455.0,3611.0,,5.9,45.5,158.6,199.7,185.0,132.2,271.7,114.5,138.0,117.5,116.0,77.8,54.3,44.1,41.1,36.7,38.2,70.5,94.0,86.6,60.2,91.0,63.1,42.6,49.9,54.3,36.7,41.1,38.2,36.7,63.1,107.2,174.8,261.4,349.5,398.0,323.1,248.2,311.3,293.7,229.1
60621,,,14.0,23.0,54.0,52.0,75.0,55.0,63.0,57.0,51.0,49.0,23.0,19.0,12.0,16.0,9.0,12.0,15.0,12.0,23.0,17.0,18.0,19.0,15.0,11.0,16.0,12.0,13.0,15.0,11.0,21.0,33.0,29.0,58.0,89.0,117.0,107.0,82.0,106.0,106.0,53.0,,,14.0,37.0,91.0,143.0,218.0,273.0,336.0,393.0,444.0,493.0,516.0,535.0,547.0,563.0,572.0,584.0,599.0,611.0,634.0,651.0,669.0,688.0,703.0,714.0,730.0,742.0,755.0,770.0,781.0,802.0,835.0,864.0,922.0,1011.0,1128.0,1235.0,1317.0,1423.0,1529.0,1582.0,,,48.2,79.2,185.9,179.1,258.2,189.4,216.9,196.3,175.6,168.7,79.2,65.4,41.3,55.1,31.0,41.3,51.6,41.3,79.2,58.5,62.0,65.4,51.6,37.9,55.1,41.3,44.8,51.6,37.9,72.3,113.6,99.9,199.7,306.5,402.9,368.4,282.3,365.0,365.0,182.5
60622,,6.0,22.0,38.0,34.0,69.0,57.0,61.0,91.0,77.0,72.0,59.0,28.0,19.0,16.0,23.0,23.0,36.0,33.0,38.0,40.0,28.0,31.0,41.0,36.0,38.0,28.0,44.0,39.0,62.0,42.0,67.0,110.0,151.0,185.0,328.0,293.0,218.0,164.0,215.0,187.0,141.0,,6.0,28.0,66.0,100.0,169.0,226.0,287.0,378.0,455.0,527.0,586.0,614.0,633.0,649.0,672.0,695.0,731.0,764.0,802.0,842.0,870.0,901.0,942.0,978.0,1016.0,1044.0,1088.0,1127.0,1189.0,1231.0,1298.0,1408.0,1559.0,1744.0,2072.0,2365.0,2583.0,2747.0,2962.0,3149.0,3290.0,,11.4,41.7,72.0,64.4,130.7,108.0,115.5,172.4,145.9,136.4,111.8,53.0,36.0,30.3,43.6,43.6,68.2,62.5,72.0,75.8,53.0,58.7,77.7,68.2,72.0,53.0,83.3,73.9,117.4,79.6,126.9,208.4,286.0,350.4,621.3,555.0,412.9,310.6,407.3,354.2,267.1
60623,,,12.0,65.0,104.0,144.0,241.0,461.0,679.0,543.0,443.0,346.0,205.0,91.0,65.0,58.0,71.0,58.0,44.0,72.0,59.0,76.0,66.0,79.0,94.0,109.0,66.0,46.0,82.0,95.0,115.0,115.0,173.0,274.0,387.0,522.0,580.0,464.0,383.0,453.0,383.0,307.0,,,12.0,77.0,181.0,325.0,566.0,1027.0,1706.0,2249.0,2692.0,3038.0,3243.0,3334.0,3399.0,3457.0,3528.0,3586.0,3630.0,3702.0,3761.0,3837.0,3903.0,3982.0,4076.0,4185.0,4251.0,4297.0,4379.0,4474.0,4589.0,4704.0,4877.0,5151.0,5538.0,6060.0,6640.0,7104.0,7487.0,7940.0,8323.0,8630.0,,,14.0,75.6,121.0,167.5,280.3,536.2,789.7,631.5,515.2,402.4,238.4,105.8,75.6,67.5,82.6,67.5,51.2,83.7,68.6,88.4,76.8,91.9,109.3,126.8,76.8,53.5,95.4,110.5,133.8,133.8,201.2,318.7,450.1,607.1,674.6,539.7,445.5,526.9,445.5,357.1
60624,,,18.0,57.0,91.0,77.0,93.0,85.0,92.0,88.0,73.0,107.0,55.0,25.0,13.0,22.0,22.0,27.0,33.0,23.0,23.0,20.0,17.0,31.0,33.0,22.0,31.0,13.0,28.0,25.0,18.0,22.0,40.0,57.0,82.0,117.0,172.0,156.0,109.0,133.0,110.0,93.0,,,19.0,76.0,167.0,244.0,337.0,422.0,514.0,602.0,675.0,782.0,837.0,862.0,875.0,897.0,919.0,946.0,979.0,1002.0,1025.0,1045.0,1062.0,1093.0,1126.0,1148.0,1179.0,1192.0,1220.0,1245.0,1263.0,1285.0,1325.0,1382.0,1464.0,1581.0,1753.0,1909.0,2018.0,2151.0,2261.0,2354.0,,,49.8,157.6,251.7,213.0,257.2,235.1,254.4,243.4,201.9,295.9,152.1,69.1,36.0,60.8,60.8,74.7,91.3,63.6,63.6,55.3,47.0,85.7,91.3,60.8,85.7,36.0,77.4,69.1,49.8,60.8,110.6,157.6,226.8,323.6,475.7,431.4,301.5,367.8,304.2,257.2
60625,,,25.0,28.0,62.0,118.0,111.0,169.0,251.0,170.0,157.0,135.0,108.0,53.0,71.0,40.0,24.0,21.0,38.0,42.0,54.0,53.0,48.0,50.0,88.0,72.0,56.0,52.0,54.0,55.0,56.0,122.0,108.0,156.0,243.0,328.0,355.0,271.0,217.0,284.0,269.0,221.0,,,26.0,54.0,116.0,234.0,345.0,514.0,765.0,935.0,1092.0,1227.0,1335.0,1388.0,1459.0,1499.0,1523.0,1544.0,1582.0,1624.0,1678.0,1731.0,1779.0,1829.0,1917.0,1989.0,2045.0,2097.0,2151.0,2206.0,2262.0,2384.0,2492.0,2648.0,2891.0,3219.0,3574.0,3845.0,4062.0,4346.0,4615.0,4836.0,,,31.5,35.3,78.2,148.9,140.1,213.3,316.7,214.5,198.1,170.4,136.3,66.9,89.6,50.5,30.3,26.5,48.0,53.0,68.1,66.9,60.6,63.1,111.1,90.9,70.7,65.6,68.1,69.4,70.7,154.0,136.3,196.9,306.7,413.9,448.0,342.0,273.8,358.4,339.5,278.9
60626,,,15.0,23.0,43.0,83.0,135.0,200.0,128.0,106.0,95.0,82.0,94.0,68.0,29.0,15.0,24.0,27.0,39.0,30.0,24.0,17.0,17.0,27.0,30.0,12.0,22.0,24.0,18.0,25.0,21.0,31.0,48.0,90.0,131.0,221.0,271.0,185.0,103.0,133.0,124.0,129.0,,,16.0,39.0,82.0,165.0,300.0,500.0,628.0,734.0,829.0,911.0,1005.0,1073.0,1102.0,1117.0,1141.0,1168.0,1207.0,1237.0,1261.0,1278.0,1295.0,1322.0,1352.0,1364.0,1386.0,1410.0,1428.0,1453.0,1474.0,1505.0,1553.0,1643.0,1774.0,1995.0,2266.0,2451.0,2554.0,2687.0,2811.0,2940.0,,,30.2,46.2,86.5,166.9,271.5,402.2,257.4,213.2,191.0,164.9,189.0,136.7,58.3,30.2,48.3,54.3,78.4,60.3,48.3,34.2,34.2,54.3,60.3,24.1,44.2,48.3,36.2,50.3,42.2,62.3,96.5,181.0,263.4,444.4,544.9,372.0,207.1,267.4,249.3,259.4
60628,,,25.0,96.0,119.0,75.0,96.0,234.0,112.0,99.0,74.0,71.0,54.0,20.0,27.0,31.0,31.0,37.0,57.0,49.0,55.0,41.0,55.0,35.0,49.0,30.0,49.0,28.0,27.0,26.0,35.0,63.0,86.0,104.0,174.0,224.0,290.0,230.0,160.0,183.0,156.0,112.0,,,27.0,123.0,242.0,317.0,413.0,647.0,759.0,858.0,932.0,1003.0,1057.0,1077.0,1104.0,1135.0,1166.0,1203.0,1260.0,1309.0,1364.0,1405.0,1460.0,1495.0,1544.0,1574.0,1623.0,1651.0,1678.0,1704.0,1739.0,1802.0,1888.0,1992.0,2166.0,2390.0,2680.0,2910.0,3070.0,3253.0,3409.0,3521.0,,,37.5,143.9,178.3,112.4,143.9,350.7,167.9,148.4,110.9,106.4,80.9,30.0,40.5,46.5,46.5,55.5,85.4,73.4,82.4,61.4,82.4,52.5,73.4,45.0,73.4,42.0,40.5,39.0,52.5,94.4,128.9,155.9,260.8,335.7,434.6,344.7,239.8,274.3,233.8,167.9
60629,,,16.0,67.0,92.0,137.0,255.0,426.0,565.0,477.0,457.0,385.0,259.0,116.0,93.0,82.0,83.0,70.0,83.0,106.0,99.0,152.0,187.0,171.0,186.0,187.0,171.0,140.0,182.0,188.0,129.0,215.0,367.0,505.0,681.0,982.0,1206.0,982.0,612.0,867.0,670.0,522.0,,,16.0,83.0,175.0,312.0,567.0,993.0,1558.0,2035.0,2492.0,2877.0,3136.0,3252.0,3345.0,3427.0,3510.0,3580.0,3663.0,3769.0,3868.0,4020.0,4207.0,4378.0,4564.0,4751.0,4922.0,5062.0,5244.0,5432.0,5561.0,5776.0,6143.0,6648.0,7329.0,8311.0,9517.0,10499.0,11111.0,11978.0,12648.0,13170.0,,,14.3,59.9,82.3,122.5,228.0,380.9,505.1,426.5,408.6,344.2,231.6,103.7,83.1,73.3,74.2,62.6,74.2,94.8,88.5,135.9,167.2,152.9,166.3,167.2,152.9,125.2,162.7,168.1,115.3,192.2,328.1,451.5,608.9,878.0,1078.2,878.0,547.2,775.1,599.0,466.7
60630,,,13.0,26.0,45.0,53.0,65.0,108.0,118.0,101.0,105.0,88.0,52.0,20.0,22.0,29.0,16.0,10.0,15.0,18.0,31.0,34.0,32.0,50.0,57.0,50.0,54.0,29.0,42.0,38.0,58.0,84.0,127.0,157.0,199.0,285.0,365.0,234.0,208.0,226.0,211.0,227.0,,,13.0,39.0,84.0,137.0,202.0,310.0,428.0,529.0,634.0,722.0,774.0,794.0,816.0,845.0,861.0,871.0,886.0,904.0,935.0,969.0,1001.0,1051.0,1108.0,1158.0,1212.0,1241.0,1283.0,1321.0,1379.0,1463.0,1590.0,1747.0,1946.0,2231.0,2596.0,2830.0,3038.0,3264.0,3475.0,3702.0,,,22.7,45.3,78.5,92.4,113.4,188.3,205.8,176.1,183.1,153.5,90.7,34.9,38.4,50.6,27.9,17.4,26.2,31.4,54.1,59.3,55.8,87.2,99.4,87.2,94.2,50.6,73.2,66.3,101.1,146.5,221.5,273.8,347.0,497.0,636.5,408.1,362.7,394.1,368.0,395.9
60631,,,8.0,21.0,24.0,26.0,18.0,28.0,25.0,44.0,40.0,30.0,10.0,22.0,11.0,19.0,16.0,25.0,14.0,17.0,26.0,21.0,41.0,27.0,19.0,31.0,20.0,18.0,21.0,33.0,37.0,40.0,58.0,73.0,102.0,172.0,221.0,187.0,127.0,121.0,85.0,103.0,,,10.0,31.0,55.0,81.0,99.0,127.0,152.0,196.0,236.0,266.0,276.0,298.0,309.0,328.0,344.0,369.0,383.0,400.0,426.0,447.0,488.0,515.0,534.0,565.0,585.0,603.0,624.0,657.0,694.0,734.0,792.0,865.0,967.0,1139.0,1360.0,1547.0,1674.0,1795.0,1880.0,1983.0,,,27.1,71.1,81.3,88.0,61.0,94.8,84.7,149.0,135.5,101.6,33.9,74.5,37.3,64.3,54.2,84.7,47.4,57.6,88.0,71.1,138.8,91.4,64.3,105.0,67.7,61.0,71.1,111.8,125.3,135.5,196.4,247.2,345.4,582.5,748.4,633.3,430.1,409.8,287.9,348.8
60632,,,4.0,27.0,56.0,114.0,264.0,450.0,587.0,473.0,447.0,354.0,184.0,112.0,91.0,68.0,54.0,50.0,59.0,57.0,94.0,118.0,111.0,102.0,161.0,122.0,118.0,90.0,138.0,107.0,143.0,163.0,268.0,382.0,593.0,731.0,756.0,687.0,415.0,601.0,572.0,361.0,,,7.0,34.0,90.0,204.0,468.0,918.0,1505.0,1978.0,2425.0,2779.0,2963.0,3075.0,3166.0,3234.0,3288.0,3338.0,3397.0,3454.0,3548.0,3666.0,3777.0,3879.0,4040.0,4162.0,4280.0,4370.0,4508.0,4615.0,4758.0,4921.0,5189.0,5571.0,6164.0,6895.0,7651.0,8338.0,8753.0,9354.0,9926.0,10287.0,,,4.4,29.7,61.5,125.2,290.0,494.3,644.8,519.6,491.0,388.8,202.1,123.0,100.0,74.7,59.3,54.9,64.8,62.6,103.3,129.6,121.9,112.0,176.8,134.0,129.6,98.9,151.6,117.5,157.1,179.0,294.4,419.6,651.4,803.0,830.4,754.6,455.8,660.2,628.3,396.5
60633,,,,,6.0,5.0,14.0,18.0,18.0,18.0,13.0,12.0,8.0,6.0,3.0,5.0,13.0,8.0,19.0,31.0,18.0,13.0,11.0,18.0,17.0,32.0,7.0,10.0,5.0,17.0,22.0,33.0,28.0,48.0,57.0,82.0,90.0,87.0,59.0,98.0,55.0,28.0,,,,,10.0,15.0,29.0,47.0,65.0,83.0,96.0,108.0,116.0,122.0,125.0,130.0,143.0,151.0,170.0,201.0,219.0,232.0,243.0,261.0,278.0,310.0,317.0,327.0,332.0,349.0,371.0,404.0,432.0,480.0,537.0,619.0,709.0,796.0,855.0,953.0,1008.0,1036.0,,,,,46.6,38.8,108.8,139.8,139.8,139.8,101.0,93.2,62.2,46.6,23.3,38.8,101.0,62.2,147.6,240.9,139.8,101.0,85.5,139.8,132.1,248.6,54.4,77.7,38.8,132.1,170.9,256.4,217.5,372.9,442.9,637.1,699.2,675.9,458.4,761.4,427.3,217.5
60634,,,17.0,59.0,79.0,99.0,123.0,180.0,222.0,209.0,158.0,127.0,84.0,56.0,44.0,68.0,43.0,47.0,47.0,40.0,93.0,78.0,91.0,97.0,103.0,94.0,92.0,66.0,69.0,67.0,90.0,134.0,188.0,293.0,363.0,638.0,602.0,463.0,380.0,498.0,475.0,364.0,,,18.0,77.0,156.0,255.0,378.0,558.0,780.0,989.0,1147.0,1274.0,1358.0,1414.0,1458.0,1526.0,1569.0,1616.0,1663.0,1703.0,1796.0,1874.0,1965.0,2062.0,2165.0,2259.0,2351.0,2417.0,2486.0,2553.0,2643.0,2777.0,2965.0,3258.0,3621.0,4259.0,4861.0,5324.0,5704.0,6202.0,6677.0,7041.0,,,22.4,77.6,104.0,130.3,161.9,236.9,292.1,275.0,207.9,167.1,110.5,73.7,57.9,89.5,56.6,61.8,61.8,52.6,122.4,102.6,119.7,127.6,135.5,123.7,121.1,86.8,90.8,88.2,118.4,176.3,247.4,385.6,477.7,839.5,792.2,609.3,500.0,655.3,625.0,479.0
60636,,,12.0,44.0,77.0,56.0,65.0,82.0,88.0,76.0,83.0,60.0,52.0,25.0,22.0,26.0,22.0,19.0,24.0,12.0,36.0,39.0,30.0,21.0,21.0,21.0,27.0,15.0,22.0,19.0,25.0,32.0,52.0,46.0,83.0,148.0,155.0,154.0,123.0,154.0,138.0,100.0,,,14.0,58.0,135.0,191.0,256.0,338.0,426.0,502.0,585.0,645.0,697.0,722.0,744.0,770.0,792.0,811.0,835.0,847.0,883.0,922.0,952.0,973.0,994.0,1015.0,1042.0,1057.0,1079.0,1098.0,1123.0,1155.0,1207.0,1253.0,1336.0,1484.0,1639.0,1793.0,1916.0,2070.0,2208.0,2308.0,,,37.3,136.6,239.1,173.9,201.8,254.6,273.3,236.0,257.7,186.3,161.5,77.6,68.3,80.7,68.3,59.0,74.5,37.3,111.8,121.1,93.2,65.2,65.2,65.2,83.8,46.6,68.3,59.0,77.6,99.4,161.5,142.8,257.7,459.6,481.3,478.2,382.0,478.2,428.5,310.5
60637,,,22.0,36.0,57.0,61.0,56.0,75.0,50.0,55.0,79.0,56.0,34.0,19.0,16.0,12.0,14.0,16.0,33.0,21.0,20.0,22.0,25.0,17.0,26.0,26.0,17.0,12.0,22.0,31.0,27.0,33.0,43.0,64.0,88.0,158.0,192.0,175.0,169.0,170.0,115.0,103.0,,,22.0,58.0,115.0,176.0,232.0,307.0,357.0,412.0,491.0,547.0,581.0,600.0,616.0,628.0,642.0,658.0,691.0,712.0,732.0,754.0,779.0,796.0,822.0,848.0,865.0,877.0,899.0,930.0,957.0,990.0,1033.0,1097.0,1185.0,1343.0,1535.0,1710.0,1879.0,2049.0,2164.0,2267.0,,,46.4,75.9,120.1,128.5,118.0,158.0,105.4,115.9,166.5,118.0,71.6,40.0,33.7,25.3,29.5,33.7,69.5,44.3,42.1,46.4,52.7,35.8,54.8,54.8,35.8,25.3,46.4,65.3,56.9,69.5,90.6,134.9,185.4,333.0,404.6,368.8,356.1,358.2,242.3,217.1
60638,,,8.0,38.0,50.0,67.0,89.0,156.0,185.0,153.0,130.0,114.0,55.0,33.0,32.0,22.0,33.0,35.0,39.0,35.0,48.0,71.0,101.0,66.0,98.0,99.0,75.0,57.0,75.0,97.0,114.0,122.0,189.0,238.0,356.0,501.0,581.0,357.0,298.0,341.0,308.0,217.0,,,8.0,46.0,96.0,163.0,252.0,408.0,593.0,746.0,876.0,990.0,1045.0,1078.0,1110.0,1132.0,1165.0,1200.0,1239.0,1274.0,1322.0,1393.0,1494.0,1560.0,1658.0,1757.0,1832.0,1889.0,1964.0,2061.0,2175.0,2297.0,2486.0,2724.0,3080.0,3581.0,4162.0,4519.0,4817.0,5158.0,5466.0,5683.0,,,13.6,64.6,85.0,114.0,151.4,265.3,314.6,260.2,221.1,193.9,93.5,56.1,54.4,37.4,56.1,59.5,66.3,59.5,81.6,120.8,171.8,112.3,166.7,168.4,127.6,96.9,127.6,165.0,193.9,207.5,321.4,404.8,605.5,852.1,988.1,607.2,506.8,580.0,523.8,369.1
60639,,,14.0,54.0,88.0,159.0,266.0,422.0,633.0,538.0,385.0,366.0,217.0,111.0,117.0,67.0,72.0,83.0,79.0,66.0,76.0,131.0,99.0,119.0,116.0,113.0,92.0,78.0,80.0,108.0,103.0,192.0,260.0,319.0,510.0,762.0,900.0,729.0,527.0,673.0,638.0,475.0,,,14.0,68.0,156.0,315.0,581.0,1003.0,1636.0,2174.0,2559.0,2925.0,3142.0,3253.0,3370.0,3437.0,3509.0,3592.0,3671.0,3737.0,3813.0,3944.0,4043.0,4162.0,4278.0,4391.0,4483.0,4561.0,4641.0,4749.0,4852.0,5044.0,5304.0,5623.0,6133.0,6895.0,7795.0,8524.0,9051.0,9724.0,10362.0,10837.0,,,15.5,59.7,97.2,175.7,293.9,466.2,699.3,594.4,425.3,404.3,239.7,122.6,129.3,74.0,79.5,91.7,87.3,72.9,84.0,144.7,109.4,131.5,128.2,124.8,101.6,86.2,88.4,119.3,113.8,212.1,287.2,352.4,563.4,841.8,994.3,805.4,582.2,743.5,704.8,524.8
60640,,,18.0,35.0,44.0,75.0,144.0,148.0,97.0,66.0,63.0,60.0,35.0,23.0,29.0,20.0,18.0,33.0,41.0,34.0,29.0,35.0,30.0,22.0,29.0,37.0,33.0,18.0,33.0,35.0,29.0,44.0,78.0,121.0,129.0,192.0,212.0,192.0,133.0,208.0,186.0,145.0,,,21.0,56.0,100.0,175.0,319.0,467.0,564.0,630.0,693.0,753.0,788.0,811.0,840.0,860.0,878.0,911.0,952.0,986.0,1015.0,1050.0,1080.0,1102.0,1131.0,1168.0,1201.0,1219.0,1252.0,1287.0,1316.0,1360.0,1438.0,1559.0,1688.0,1880.0,2092.0,2284.0,2417.0,2625.0,2811.0,2956.0,,,25.8,50.2,63.1,107.6,206.6,212.3,139.1,94.7,90.4,86.1,50.2,33.0,41.6,28.7,25.8,47.3,58.8,48.8,41.6,50.2,43.0,31.6,41.6,53.1,47.3,25.8,47.3,50.2,41.6,63.1,111.9,173.6,185.0,275.4,304.1,275.4,190.8,298.4,266.8,208.0
60641,,,10.0,28.0,51.0,112.0,109.0,186.0,244.0,187.0,197.0,172.0,108.0,74.0,45.0,46.0,37.0,39.0,25.0,58.0,60.0,75.0,70.0,71.0,76.0,85.0,78.0,74.0,76.0,94.0,70.0,121.0,167.0,227.0,382.0,463.0,531.0,414.0,317.0,412.0,390.0,315.0,,,11.0,39.0,90.0,202.0,311.0,497.0,741.0,928.0,1125.0,1297.0,1405.0,1479.0,1524.0,1570.0,1607.0,1646.0,1671.0,1729.0,1789.0,1864.0,1934.0,2005.0,2081.0,2166.0,2244.0,2318.0,2394.0,2488.0,2558.0,2679.0,2846.0,3073.0,3455.0,3918.0,4449.0,4863.0,5180.0,5592.0,5982.0,6297.0,,,14.1,39.4,71.8,157.7,153.5,261.9,343.6,263.3,277.4,242.2,152.1,104.2,63.4,64.8,52.1,54.9,35.2,81.7,84.5,105.6,98.6,100.0,107.0,119.7,109.8,104.2,107.0,132.4,98.6,170.4,235.1,319.6,537.9,651.9,747.6,582.9,446.3,580.1,549.1,443.5
60642,,,,12.0,11.0,10.0,5.0,31.0,22.0,16.0,13.0,15.0,9.0,9.0,12.0,17.0,17.0,15.0,22.0,13.0,7.0,14.0,12.0,16.0,10.0,14.0,16.0,13.0,17.0,18.0,9.0,28.0,47.0,68.0,81.0,123.0,131.0,115.0,62.0,75.0,65.0,64.0,,,,16.0,27.0,37.0,42.0,73.0,95.0,111.0,124.0,139.0,148.0,157.0,169.0,186.0,203.0,218.0,240.0,253.0,260.0,274.0,286.0,302.0,312.0,326.0,342.0,355.0,372.0,390.0,399.0,427.0,474.0,542.0,623.0,746.0,877.0,992.0,1054.0,1129.0,1194.0,1258.0,,,,59.4,54.5,49.5,24.8,153.5,108.9,79.2,64.4,74.3,44.6,44.6,59.4,84.2,84.2,74.3,108.9,64.4,34.7,69.3,59.4,79.2,49.5,69.3,79.2,64.4,84.2,89.1,44.6,138.6,232.7,336.6,401.0,608.9,648.5,569.3,306.9,371.3,321.8,316.8
60643,,,21.0,71.0,102.0,89.0,60.0,146.0,46.0,49.0,46.0,36.0,31.0,18.0,21.0,14.0,21.0,27.0,51.0,42.0,52.0,41.0,27.0,35.0,37.0,27.0,29.0,16.0,33.0,18.0,34.0,45.0,98.0,119.0,175.0,214.0,244.0,205.0,153.0,164.0,161.0,113.0,,,22.0,93.0,195.0,284.0,344.0,490.0,536.0,585.0,631.0,667.0,698.0,716.0,737.0,751.0,772.0,799.0,850.0,892.0,944.0,985.0,1012.0,1047.0,1084.0,1111.0,1140.0,1156.0,1189.0,1207.0,1241.0,1286.0,1384.0,1503.0,1678.0,1892.0,2136.0,2341.0,2494.0,2658.0,2819.0,2932.0,,,42.1,142.4,204.5,178.5,120.3,292.8,92.2,98.3,92.2,72.2,62.2,36.1,42.1,28.1,42.1,54.1,102.3,84.2,104.3,82.2,54.1,70.2,74.2,54.1,58.2,32.1,66.2,36.1,68.2,90.2,196.5,238.6,350.9,429.1,489.3,411.1,306.8,328.9,322.8,226.6
60644,,3.0,17.0,68.0,89.0,118.0,80.0,222.0,151.0,116.0,107.0,120.0,127.0,43.0,11.0,22.0,16.0,24.0,24.0,33.0,29.0,15.0,29.0,27.0,20.0,34.0,19.0,15.0,28.0,27.0,27.0,34.0,39.0,80.0,103.0,138.0,202.0,196.0,153.0,140.0,145.0,117.0,,5.0,22.0,90.0,179.0,297.0,377.0,599.0,750.0,866.0,973.0,1093.0,1220.0,1263.0,1274.0,1296.0,1312.0,1336.0,1360.0,1393.0,1422.0,1437.0,1466.0,1493.0,1513.0,1547.0,1566.0,1581.0,1609.0,1636.0,1663.0,1697.0,1736.0,1816.0,1919.0,2057.0,2259.0,2455.0,2608.0,2748.0,2893.0,3010.0,,6.3,35.6,142.5,186.5,247.3,167.7,465.3,316.5,243.1,224.3,251.5,266.2,90.1,23.1,46.1,33.5,50.3,50.3,69.2,60.8,31.4,60.8,56.6,41.9,71.3,39.8,31.4,58.7,56.6,56.6,71.3,81.7,167.7,215.9,289.2,423.4,410.8,320.7,293.4,303.9,245.2
60645,,,25.0,107.0,106.0,114.0,138.0,112.0,115.0,80.0,128.0,62.0,41.0,28.0,39.0,20.0,20.0,13.0,10.0,20.0,15.0,20.0,22.0,20.0,40.0,47.0,31.0,25.0,21.0,34.0,37.0,35.0,61.0,92.0,147.0,220.0,278.0,187.0,134.0,202.0,213.0,172.0,,,25.0,132.0,238.0,352.0,490.0,602.0,717.0,797.0,925.0,987.0,1028.0,1056.0,1095.0,1115.0,1135.0,1148.0,1158.0,1178.0,1193.0,1213.0,1235.0,1255.0,1295.0,1342.0,1373.0,1398.0,1419.0,1453.0,1490.0,1525.0,1586.0,1678.0,1825.0,2045.0,2323.0,2510.0,2644.0,2846.0,3059.0,3231.0,,,52.4,224.2,222.1,238.8,289.1,234.6,240.9,167.6,268.2,129.9,85.9,58.7,81.7,41.9,41.9,27.2,21.0,41.9,31.4,41.9,46.1,41.9,83.8,98.5,64.9,52.4,44.0,71.2,77.5,73.3,127.8,192.7,308.0,460.9,582.4,391.8,280.7,423.2,446.2,360.3
