zip,cases_weekly_2020-03-01,cases_weekly_2020-03-08,cases_weekly_2020-03-15,cases_weekly_2020-03-22,cases_weekly_2020-03-29,cases_weekly_2020-04-05,cases_weekly_2020-04-12,cases_weekly_2020-04-19,cases_weekly_2020-04-26,cases_weekly_2020-05-03,cases_weekly_2020-05-10,cases_weekly_2020-05-17,cases_weekly_2020-05-24,cases_weekly_2020-05-31,cases_weekly_2020-06-07,cases_weekly_2020-06-14,cases_weekly_2020-06-21,cases_weekly_2020-06-28,cases_weekly_2020-07-05,cases_weekly_2020-07-12,cases_weekly_2020-07-19,cases_weekly_2020-07-26,cases_weekly_2020-08-02,cases_weekly_2020-08-09,cases_weekly_2020-08-16,cases_weekly_2020-08-23,cases_weekly_2020-08-30,cases_weekly_2020-09-06,cases_weekly_2020-09-13,cases_weekly_2020-09-20,cases_weekly_2020-09-27,cases_weekly_2020-10-04,cases_weekly_2020-10-11,cases_weekly_2020-10-18,cases_weekly_2020-10-25,cases_weekly_2020-11-01,cases_weekly_2020-11-08,cases_weekly_2020-11-15,cases_weekly_2020-11-22,cases_weekly_2020-11-29,cases_weekly_2020-12-06,cases_weekly_2020-12-13,cases_weekly_2020-12-20,cases_cumulative_2020-03-01,cases_cumulative_2020-03-08,cases_cumulative_2020-03-15,cases_cumulative_2020-03-22,cases_cumulative_2020-03-29,cases_cumulative_2020-04-05,cases_cumulative_2020-04-12,cases_cumulative_2020-04-19,cases_cumulative_2020-04-26,cases_cumulative_2020-05-03,cases_cumulative_2020-05-10,cases_cumulative_2020-05-17,cases_cumulative_2020-05-24,cases_cumulative_2020-05-31,cases_cumulative_2020-06-07,cases_cumulative_2020-06-14,cases_cumulative_2020-06-21,cases_cumulative_2020-06-28,cases_cumulative_2020-07-05,cases_cumulative_2020-07-12,cases_cumulative_2020-07-19,cases_cumulative_2020-07-26,cases_cumulative_2020-08-02,cases_cumulative_2020-08-09,cases_cumulative_2020-08-16,cases_cumulative_2020-08-23,cases_cumulative_2020-08-30,cases_cumulative_2020-09-06,cases_cumulative_2020-09-13,cases_cumulative_2020-09-20,cases_cumulative_2020-09-27,cases_cumulative_2020-10-04,cases_cumulative_2020-10-11,cases_cumulative_2020-10-18,cases_cumulative_2020-10-25,cases_cumulative_2020-11-01,cases_cumulative_2020-11-08,cases_cumulative_2020-11-15,cases_cumulative_2020-11-22,cases_cumulative_2020-11-29,cases_cumulative_2020-12-06,cases_cumulative_2020-12-13,cases_cumulative_2020-12-20,case_rate_weekly_2020-03-01,case_rate_weekly_2020-03-08,case_rate_weekly_2020-03-15,case_rate_weekly_2020-03-22,case_rate_weekly_2020-03-29,case_rate_weekly_2020-04-05,case_rate_weekly_2020-04-12,case_rate_weekly_2020-04-19,case_rate_weekly_2020-04-26,case_rate_weekly_2020-05-03,case_rate_weekly_2020-05-10,case_rate_weekly_2020-05-17,case_rate_weekly_2020-05-24,case_rate_weekly_2020-05-31,case_rate_weekly_2020-06-07,case_rate_weekly_2020-06-14,case_rate_weekly_2020-06-21,case_rate_weekly_2020-06-28,case_rate_weekly_2020-07-05,case_rate_weekly_2020-07-12,case_rate_weekly_2020-07-19,case_rate_weekly_2020-07-26,case_rate_weekly_2020-08-02,case_rate_weekly_2020-08-09,case_rate_weekly_2020-08-16,case_rate_weekly_2020-08-23,case_rate_weekly_2020-08-30,case_rate_weekly_2020-09-06,case_rate_weekly_2020-09-13,case_rate_weekly_2020-09-20,case_rate_weekly_2020-09-27,case_rate_weekly_2020-10-04,case_rate_weekly_2020-10-11,case_rate_weekly_2020-10-18,case_rate_weekly_2020-10-25,case_rate_weekly_2020-11-01,case_rate_weekly_2020-11-08,case_rate_weekly_2020-11-15,case_rate_weekly_2020-11-22,case_rate_weekly_2020-11-29,case_rate_weekly_2020-12-06,case_rate_weekly_2020-12-13,case_rate_weekly_2020-12-20
60624,,,18,57,91,77,93,85,92,88,73,107,55,25,13,22,22,27,33,23,23,20,17,31,33,22,31,13,28,25,18,22,40,57,82,117,171,157,108,133,110,94,61,,,19,76,167,244,337,422,514,602,675,782,837,862,875,897,919,946,979,1002,1025,1045,1062,1093,1126,1148,1179,1192,1220,1245,1263,1285,1325,1382,1464,1581,1752,1909,2017,2150,2260,2354,2415,,,49.8,157.6,251.7,213,257.2,235.1,254.4,243.4,201.9,295.9,152.1,69.1,36,60.8,60.8,74.7,91.3,63.6,63.6,55.3,47,85.7,91.3,60.8,85.7,36,77.4,69.1,49.8,60.8,110.6,157.6,226.8,323.6,472.9,434.2,298.7,367.8,304.2,260,168.7
60625,,,25,28,62,118,111,169,251,170,157,135,108,53,71,40,24,21,38,42,54,53,48,50,88,72,56,52,54,55,56,122,108,156,243,327,354,272,215,284,269,223,166,,,26,54,116,234,345,514,765,935,1092,1227,1335,1388,1459,1499,1523,1544,1582,1624,1678,1731,1779,1829,1917,1989,2045,2097,2151,2206,2262,2384,2492,2648,2891,3218,3572,3844,4059,4343,4612,4835,5001,,,31.5,35.3,78.2,148.9,140.1,213.3,316.7,214.5,198.1,170.4,136.3,66.9,89.6,50.5,30.3,26.5,48,53,68.1,66.9,60.6,63.1,111.1,90.9,70.7,65.6,68.1,69.4,70.7,154,136.3,196.9,306.7,412.7,446.7,343.2,271.3,358.4,339.5,281.4,209.5
60626,,,15,23,43,83,135,200,128,106,95,82,93,68,29,15,24,27,39,30,24,17,17,27,30,12,22,24,18,25,21,31,48,90,131,220,271,185,102,133,124,129,93,,,16,39,82,165,300,500,628,734,829,911,1004,1072,1101,1116,1140,1167,1206,1236,1260,1277,1294,1321,1351,1363,1385,1409,1427,1452,1473,1504,1552,1642,1773,1993,2264,2449,2551,2684,2808,2937,3030,,,30.2,46.2,86.5,166.9,271.5,402.2,257.4,213.2,191,164.9,187,136.7,58.3,30.2,48.3,54.3,78.4,60.3,48.3,34.2,34.2,54.3,60.3,24.1,44.2,48.3,36.2,50.3,42.2,62.3,96.5,181,263.4,442.4,544.9,372,205.1,267.4,249.3,259.4,187
60628,,,25,96,119,75,96,233,112,99,74,71,54,20,27,31,31,37,57,49,55,41,55,35,49,30,49,28,27,26,35,63,86,104,174,224,290,229,159,183,157,115,79,,,27,123,242,317,413,646,758,857,931,1002,1056,1076,1103,1134,1165,1202,1259,1308,1363,1404,1459,1494,1543,1573,1622,1650,1677,1703,1738,1801,1887,1991,2165,2389,2679,2908,3067,3250,3407,3522,3601,,,37.5,143.9,178.3,112.4,143.9,349.2,167.9,148.4,110.9,106.4,80.9,30,40.5,46.5,46.5,55.5,85.4,73.4,82.4,61.4,82.4,52.5,73.4,45,73.4,42,40.5,39,52.5,94.4,128.9,155.9,260.8,335.7,434.6,343.2,238.3,274.3,235.3,172.4,118.4
60629,,,16,67,92,137,255,425,565,477,457,385,259,116,93,82,83,70,83,106,99,152,187,171,186,187,171,140,182,188,129,215,367,505,679,984,1207,982,612,864,670,523,308,,,16,83,175,312,567,992,1557,2034,2491,2876,3135,3251,3344,3426,3509,3579,3662,3768,3867,4019,4206,4377,4563,4750,4921,5061,5243,5431,5560,5775,6142,6647,7326,8310,9517,10499,11111,11975,12645,13168,13476,,,14.3,59.9,82.3,122.5,228,380,505.1,426.5,408.6,344.2,231.6,103.7,83.1,73.3,74.2,62.6,74.2,94.8,88.5,135.9,167.2,152.9,166.3,167.2,152.9,125.2,162.7,168.1,115.3,192.2,328.1,451.5,607.1,879.7,1079.1,878,547.2,772.5,599,467.6,275.4
60630,,,13,26,45,53,65,108,118,101,105,88,52,20,22,29,16,10,15,18,31,34,32,50,57,50,54,29,42,38,58,84,127,157,199,285,365,234,208,227,209,227,152,,,13,39,84,137,202,310,428,529,634,722,774,794,816,845,861,871,886,904,935,969,1001,1051,1108,1158,1212,1241,1283,1321,1379,1463,1590,1747,1946,2231,2596,2830,3038,3265,3474,3701,3853,,,22.7,45.3,78.5,92.4,113.4,188.3,205.8,176.1,183.1,153.5,90.7,34.9,38.4,50.6,27.9,17.4,26.2,31.4,54.1,59.3,55.8,87.2,99.4,87.2,94.2,50.6,73.2,66.3,101.1,146.5,221.5,273.8,347,497,636.5,408.1,362.7,395.9,364.5,395.9,265.1
60631,,,8,21,24,26,18,28,25,44,40,30,11,22,11,19,16,25,14,17,26,21,41,27,19,31,20,18,21,33,37,40,58,73,102,173,221,187,126,121,85,104,95,,,10,31,55,81,99,127,152,196,236,266,277,299,310,329,345,370,384,401,427,448,489,516,535,566,586,604,625,658,695,735,793,866,968,1141,1362,1549,1675,1796,1881,1985,2080,,,27.1,71.1,81.3,88,61,94.8,84.7,149,135.5,101.6,37.3,74.5,37.3,64.3,54.2,84.7,47.4,57.6,88,71.1,138.8,91.4,64.3,105,67.7,61,71.1,111.8,125.3,135.5,196.4,247.2,345.4,585.9,748.4,633.3,426.7,409.8,287.9,352.2,321.7
60632,,,4,27,56,114,264,451,587,473,447,354,184,112,91,68,54,50,59,57,94,118,111,102,161,122,118,90,138,107,143,163,268,382,593,730,756,686,414,600,574,360,261,,,7,34,90,204,468,919,1506,1979,2426,2780,2964,3076,3167,3235,3289,3339,3398,3455,3549,3667,3778,3880,4041,4163,4281,4371,4509,4616,4759,4922,5190,5572,6165,6895,7651,8337,8751,9351,9925,10285,10546,,,4.4,29.7,61.5,125.2,290,495.4,644.8,519.6,491,388.8,202.1,123,100,74.7,59.3,54.9,64.8,62.6,103.3,129.6,121.9,112,176.8,134,129.6,98.9,151.6,117.5,157.1,179,294.4,419.6,651.4,801.9,830.4,753.5,454.8,659.1,630.5,395.4,286.7
60633,,,,,6,5,14,18,18,18,13,12,8,6,3,5,13,8,19,31,18,13,11,18,17,32,7,10,5,17,22,33,28,48,57,82,90,87,59,98,55,28,12,,,,,10,15,29,47,65,83,96,108,116,122,125,130,143,151,170,201,219,232,243,261,278,310,317,327,332,349,371,404,432,480,537,619,709,796,855,953,1008,1036,1048,,,,,46.6,38.8,108.8,139.8,139.8,139.8,101,93.2,62.2,46.6,23.3,38.8,101,62.2,147.6,240.9,139.8,101,85.5,139.8,132.1,248.6,54.4,77.7,38.8,132.1,170.9,256.4,217.5,372.9,442.9,637.1,699.2,675.9,458.4,761.4,427.3,217.5,93.2
60634,,,17,59,79,99,123,180,222,209,158,127,84,56,44,68,43,47,47,41,93,78,91,97,103,94,92,66,69,67,90,134,188,293,363,638,602,463,380,497,472,368,295,,,18,77,156,255,378,558,780,989,1147,1274,1358,1414,1458,1526,1569,1616,1663,1704,1797,1875,1966,2063,2166,2260,2352,2418,2487,2554,2644,2778,2966,3259,3622,4260,4862,5325,5705,6202,6674,7042,7337,,,22.4,77.6,104,130.3,161.9,236.9,292.1,275,207.9,167.1,110.5,73.7,57.9,89.5,56.6,61.8,61.8,54,122.4,102.6,119.7,127.6,135.5,123.7,121.1,86.8,90.8,88.2,118.4,176.3,247.4,385.6,477.7,839.5,792.2,609.3,500,654,621.1,484.2,388.2
60636,,,12,44,77,56,65,82,88,76,83,60,52,25,22,26,22,19,24,12,36,39,30,21,21,21,27,15,22,19,25,32,52,46,83,150,155,154,123,154,138,101,66,,,14,58,135,191,256,338,426,502,585,645,697,722,744,770,792,811,835,847,883,922,952,973,994,1015,1042,1057,1079,1098,1123,1155,1207,1253,1336,1486,1641,1795,1918,2072,2210,2311,2377,,,37.3,136.6,239.1,173.9,201.8,254.6,273.3,236,257.7,186.3,161.5,77.6,68.3,80.7,68.3,59,74.5,37.3,111.8,121.1,93.2,65.2,65.2,65.2,83.8,46.6,68.3,59,77.6,99.4,161.5,142.8,257.7,465.8,481.3,478.2,382,478.2,428.5,313.6,204.9
60637,,,22,36,57,61,56,75,50,55,79,56,34,19,16,12,14,16,33,21,20,22,25,17,26,26,17,12,22,31,27,33,43,64,88,157,192,175,167,170,113,104,65,,,22,58,115,176,232,307,357,412,491,547,581,600,616,628,642,658,691,712,732,754,779,796,822,848,865,877,899,930,957,990,1033,1097,1185,1342,1534,1709,1876,2046,2159,2263,2328,,,46.4,75.9,120.1,128.5,118,158,105.4,115.9,166.5,118,71.6,40,33.7,25.3,29.5,33.7,69.5,44.3,42.1,46.4,52.7,35.8,54.8,54.8,35.8,25.3,46.4,65.3,56.9,69.5,90.6,134.9,185.4,330.8,404.6,368.8,351.9,358.2,238.1,219.2,137
60638,,,8,38,50,67,89,156,185,153,130,114,55,33,32,22,33,35,39,35,48,71,101,66,98,99,75,57,75,97,114,122,189,238,356,501,581,357,299,341,307,219,141,,,8,46,96,163,252,408,593,746,876,990,1045,1078,1110,1132,1165,1200,1239,1274,1322,1393,1494,1560,1658,1757,1832,1889,1964,2061,2175,2297,2486,2724,3080,3581,4162,4519,4818,5159,5466,5685,5826,,,13.6,64.6,85,114,151.4,265.3,314.6,260.2,221.1,193.9,93.5,56.1,54.4,37.4,56.1,59.5,66.3,59.5,81.6,120.8,171.8,112.3,166.7,168.4,127.6,96.9,127.6,165,193.9,207.5,321.4,404.8,605.5,852.1,988.1,607.2,508.5,580,522.1,372.5,239.8
60639,,,14,54,88,159,266,422,633,538,385,366,217,111,117,67,72,83,79,65,76,131,99,119,115,113,92,78,80,108,103,192,260,319,510,762,900,729,525,672,636,480,318,,,14,68,156,315,581,1003,1636,2174,2559,2925,3142,3253,3370,3437,3509,3592,3671,3736,3812,3943,4042,4161,4276,4389,4481,4559,4639,4747,4850,5042,5302,5621,6131,6893,7793,8522,9047,9719,10355,10835,11153,,,15.5,59.7,97.2,175.7,293.9,466.2,699.3,594.4,425.3,404.3,239.7,122.6,129.3,74,79.5,91.7,87.3,71.8,84,144.7,109.4,131.5,127,124.8,101.6,86.2,88.4,119.3,113.8,212.1,287.2,352.4,563.4,841.8,994.3,805.4,580,742.4,702.6,530.3,351.3
60640,,,18,35,44,75,144,148,97,66,63,60,35,23,29,20,18,33,41,34,29,35,30,22,29,37,33,18,33,35,29,44,78,121,129,192,212,192,133,216,185,150,104,,,21,56,100,175,319,467,564,630,693,753,788,811,840,860,878,911,952,986,1015,1050,1080,1102,1131,1168,1201,1219,1252,1287,1316,1360,1438,1559,1688,1880,2092,2284,2417,2633,2818,2968,3072,,,25.8,50.2,63.1,107.6,206.6,212.3,139.1,94.7,90.4,86.1,50.2,33,41.6,28.7,25.8,47.3,58.8,48.8,41.6,50.2,43,31.6,41.6,53.1,47.3,25.8,47.3,50.2,41.6,63.1,111.9,173.6,185,275.4,304.1,275.4,190.8,309.8,265.4,215.2,149.2
60641,,,10,28,51,112,109,187,244,187,197,172,108,74,45,46,37,39,25,58,60,74,70,71,76,85,78,74,76,94,70,121,167,227,381,464,529,415,317,411,389,317,216,,,11,39,90,202,311,498,742,929,1126,1298,1406,1480,1525,1571,1608,1647,1672,1730,1790,1864,1934,2005,2081,2166,2244,2318,2394,2488,2558,2679,2846,3073,3454,3918,4447,4862,5179,5590,5979,6296,6512,,,14.1,39.4,71.8,157.7,153.5,263.3,343.6,263.3,277.4,242.2,152.1,104.2,63.4,64.8,52.1,54.9,35.2,81.7,84.5,104.2,98.6,100,107,119.7,109.8,104.2,107,132.4,98.6,170.4,235.1,319.6,536.4,653.3,744.8,584.3,446.3,578.7,547.7,446.3,304.1
60642,,,,12,11,10,5,31,22,16,13,15,9,9,12,17,17,16,23,13,7,14,11,16,10,14,16,13,17,18,9,28,47,68,81,123,132,116,61,75,65,64,45,,,,16,27,37,42,73,95,111,124,139,148,157,169,186,203,219,242,255,262,276,287,303,313,327,343,356,373,391,400,428,475,543,624,747,879,995,1056,1131,1196,1260,1305,,,,59.4,54.5,49.5,24.8,153.5,108.9,79.2,64.4,74.3,44.6,44.6,59.4,84.2,84.2,79.2,113.9,64.4,34.7,69.3,54.5,79.2,49.5,69.3,79.2,64.4,84.2,89.1,44.6,138.6,232.7,336.6,401,608.9,653.4,574.2,302,371.3,321.8,316.8,222.8
60643,,,21,71,102,89,60,146,46,49,46,36,31,18,21,14,21,27,51,42,52,41,27,35,37,27,29,16,33,18,34,46,98,119,175,214,244,205,153,165,161,118,82,,,22,93,195,284,344,490,536,585,631,667,698,716,737,751,772,799,850,892,944,985,1012,1047,1084,1111,1140,1156,1189,1207,1241,1287,1385,1504,1679,1893,2137,2342,2495,2660,2821,2939,3021,,,42.1,142.4,204.5,178.5,120.3,292.8,92.2,98.3,92.2,72.2,62.2,36.1,42.1,28.1,42.1,54.1,102.3,84.2,104.3,82.2,54.1,70.2,74.2,54.1,58.2,32.1,66.2,36.1,68.2,92.2,196.5,238.6,350.9,429.1,489.3,411.1,306.8,330.9,322.8,236.6,164.4
60644,,3,17,68,89,118,80,222,151,116,107,120,127,43,11,22,16,24,24,33,29,15,29,27,20,34,19,15,28,27,27,34,39,80,103,138,201,196,153,140,146,116,75,,5,22,90,179,297,377,599,750,866,973,1093,1220,1263,1274,1296,1312,1336,1360,1393,1422,1437,1466,1493,1513,1547,1566,1581,1609,1636,1663,1697,1736,1816,1919,2057,2258,2454,2607,2747,2893,3009,3084,,6.3,35.6,142.5,186.5,247.3,167.7,465.3,316.5,243.1,224.3,251.5,266.2,90.1,23.1,46.1,33.5,50.3,50.3,69.2,60.8,31.4,60.8,56.6,41.9,71.3,39.8,31.4,58.7,56.6,56.6,71.3,81.7,167.7,215.9,289.2,421.3,410.8,320.7,293.4,306,243.1,157.2
60645,,,24,107,106,114,138,112,115,80,128,62,41,28,39,20,20,13,10,20,15,20,22,20,40,47,31,25,21,34,37,35,61,92,147,220,278,187,133,202,213,175,120,,,24,131,237,351,489,601,716,796,924,986,1027,1055,1094,1114,1134,1147,1157,1177,1192,1212,1234,1254,1294,1341,1372,1397,1418,1452,1489,1524,1585,1677,1824,2044,2322,2509,2642,2844,3057,3232,3352,,,50.3,224.2,222.1,238.8,289.1,234.6,240.9,167.6,268.2,129.9,85.9,58.7,81.7,41.9,41.9,27.2,21,41.9,31.4,41.9,46.1,41.9,83.8,98.5,64.9,52.4,44,71.2,77.5,73.3,127.8,192.7,308,460.9,582.4,391.8,278.6,423.2,446.2,366.6,251.4
60646,,,7,17,16,20,20,106,50,45,34,31,19,6,11,7,7,6,12,2,9,15,15,13,16,30,27,17,9,21,21,23,57,53,95,125,161,147,109,119,92,74,76,,,9,26,42,62,82,188,238,283,317,348,367,373,384,391,398,404,416,418,427,442,457,470,486,516,543,560,569,590,611,634,691,744,839,964,1125,1272,1381,1500,1592,1666,1742,,,25,60.7,57.2,71.5,71.5,378.7,178.7,160.8,121.5,110.8,67.9,21.4,39.3,25,25,21.4,42.9,7.1,32.2,53.6,53.6,46.5,57.2,107.2,96.5,60.7,32.2,75,75,82.2,203.7,189.4,339.4,446.6,575.3,525.2,389.5,425.2,328.7,264.4,271.6
60647,,8,13,27,41,69,123,221,202,187,185,134,89,51,55,49,37,49,53,60,62,66,83,62,76,71,48,61,57,52,68,113,166,247,329,448,519,452,309,371,352,282,206,,8,21,48,89,158,281,502,704,891,1076,1210,1299,1350,1405,1454,1491,1540,1593,1653,1715,1781,1864,1926,2002,2073,2121,2182,2239,2291,2359,2472,2638,2885,3214,3662,4181,4633,4942,5313,5665,5947,6153,,9.1,14.9,30.9,46.9,78.8,140.6,252.5,230.8,213.7,211.4,153.1,101.7,58.3,62.9,56,42.3,56,60.6,68.6,70.8,75.4,94.8,70.8,86.8,81.1,54.9,69.7,65.1,59.4,77.7,129.1,189.7,282.3,376,511.9,593.1,516.5,353.1,424,402.2,322.3,235.4
60649,,,28,48,70,74,96,191,79,67,52,53,42,24,13,15,14,21,35,30,30,29,24,25,16,21,16,17,12,13,18,39,51,60,75,127,179,144,116,118,120,79,80,,,28,76,146,220,316,507,586,653,705,758,800,824,837,852,866,887,922,952,982,1011,1035,1060,1076,1097,1113,1130,1142,1155,1173,1212,1263,1323,1398,1525,1704,1848,1964,2082,2202,2281,2361,,,60.8,104.3,152.1,160.8,208.6,415,171.6,145.6,113,115.2,91.3,52.1,28.2,32.6,30.4,45.6,76,65.2,65.2,63,52.1,54.3,34.8,45.6,34.8,36.9,26.1,28.2,39.1,84.7,110.8,130.4,163,275.9,388.9,312.9,252,256.4,260.7,171.6,173.8
60651,,,15,66,77,117,122,201,270,239,202,212,148,55,57,38,31,33,41,60,58,48,76,69,55,59,59,35,46,55,58,63,102,164,263,369,453,409,283,368,332,255,175,,,15,81,158,275,397,598,868,1107,1309,1521,1669,1724,1781,1819,1850,1883,1924,1984,2042,2090,2166,2235,2290,2349,2408,2443,2489,2544,2602,2665,2767,2931,3194,3563,4016,4425,4708,5076,5408,5663,5838,,,23.7,104.4,121.8,185.1,193,317.9,427.1,378.1,319.5,335.3,234.1,87,90.2,60.1,49,52.2,64.9,94.9,91.7,75.9,120.2,109.1,87,93.3,93.3,55.4,72.8,87,91.7,99.7,161.3,259.4,416,583.7,716.6,647,447.7,582.1,525.2,403.4,276.8
60652,,,12,44,62,52,68,99,150,113,98,122,70,45,18,29,27,35,53,30,38,34,36,53,61,75,70,50,61,57,78,108,94,138,192,282,324,221,182,228,181,138,105,,,12,56,118,170,238,337,487,600,698,820,890,935,953,982,1009,1044,1097,1127,1165,1199,1235,1288,1349,1424,1494,1544,1605,1662,1740,1848,1942,2080,2272,2554,2878,3099,3281,3509,3690,3828,3933,,,27.3,100.2,141.2,118.4,154.9,225.5,341.6,257.4,223.2,277.9,159.4,102.5,41,66,61.5,79.7,120.7,68.3,86.5,77.4,82,120.7,138.9,170.8,159.4,113.9,138.9,129.8,177.6,246,214.1,314.3,437.3,642.3,737.9,503.3,414.5,519.3,412.2,314.3,239.1
60653,,,21,45,47,62,62,47,38,52,49,48,22,18,14,13,21,15,23,21,26,22,20,13,14,11,16,9,9,15,13,25,32,55,91,109,158,123,85,118,108,77,48,,,21,66,113,175,237,284,322,374,423,471,493,511,525,538,559,574,597,618,644,666,686,699,713,724,740,749,758,773,786,811,843,898,989,1098,1256,1379,1464,1582,1690,1767,1815,,,65.7,140.7,147,193.9,193.9,147,118.9,162.6,153.3,150.1,68.8,56.3,43.8,40.7,65.7,46.9,71.9,65.7,81.3,68.8,62.6,40.7,43.8,34.4,50,28.1,28.1,46.9,40.7,78.2,100.1,172,284.6,340.9,494.2,384.7,265.9,369.1,337.8,240.8,150.1
60654,,,14,17,12,39,18,7,5,9,6,7,3,3,2,10,14,11,24,13,10,9,15,13,8,13,16,17,19,21,23,31,50,66,88,157,133,110,65,77,63,48,34,,,17,34,46,85,103,110,115,124,130,137,140,143,145,155,169,180,204,217,227,236,251,264,272,285,301,318,337,358,381,412,462,528,616,773,906,1016,1081,1158,1221,1269,1303,,,73.2,88.8,62.7,203.8,94.1,36.6,26.1,47,31.4,36.6,15.7,15.7,10.5,52.3,73.2,57.5,125.4,67.9,52.3,47,78.4,67.9,41.8,67.9,83.6,88.8,99.3,109.7,120.2,162,261.3,344.9,459.9,820.5,695.1,574.9,339.7,402.4,329.2,250.8,177.7
60655,,,,30,44,36,34,29,22,19,16,17,11,7,1,3,8,11,31,26,23,26,36,53,38,50,24,19,23,32,27,37,97,129,137,210,283,194,132,164,136,82,75,,,,34,78,114,148,177,199,218,234,251,262,269,270,273,281,292,323,349,372,398,434,487,525,575,599,618,641,673,700,737,834,963,1100,1310,1593,1787,1919,2083,2219,2301,2376,,,,104.2,152.8,125,118,100.7,76.4,66,55.5,59,38.2,24.3,3.5,10.4,27.8,38.2,107.6,90.3,79.9,90.3,125,184,131.9,173.6,83.3,66,79.9,111.1,93.7,128.5,336.8,447.9,475.6,729.1,982.5,673.5,458.3,569.4,472.2,284.7,260.4
60656,,,4,22,22,27,24,28,33,31,22,22,20,12,10,6,12,16,16,13,20,26,26,42,46,33,20,11,23,30,38,54,68,85,116,165,195,157,117,155,113,103,76,,,5,27,49,76,100,128,161,192,214,236,256,268,278,284,296,312,328,341,361,387,413,455,501,534,554,565,588,618,656,710,778,863,979,1144,1339,1496,1613,1768,1881,1984,2060,,,14.5,79.8,79.8,97.9,87,101.5,119.7,112.4,79.8,79.8,72.5,43.5,36.3,21.8,43.5,58,58,47.1,72.5,94.3,94.3,152.3,166.8,119.7,72.5,39.9,83.4,108.8,137.8,195.8,246.6,308.2,420.6,598.3,707.1,569.3,424.2,562,409.7,373.5,275.6
60657,,14,30,40,35,33,19,28,33,26,29,25,19,8,18,11,19,26,53,45,39,24,31,45,52,42,57,55,67,56,45,87,89,148,234,330,358,272,160,199,145,102,100,,15,45,85,120,153,172,200,233,259,288,313,332,340,358,369,388,414,467,512,551,575,606,651,703,745,802,857,924,980,1025,1112,1201,1349,1583,1913,2271,2543,2703,2902,3047,3149,3249,,20,42.8,57.1,50,47.1,27.1,40,47.1,37.1,41.4,35.7,27.1,11.4,25.7,15.7,27.1,37.1,75.7,64.2,55.7,34.3,44.3,64.2,74.2,60,81.4,78.5,95.6,79.9,64.2,124.2,127,211.3,334,471.1,511,388.3,228.4,284.1,207,145.6,142.8
60659,,,20,41,64,60,79,88,95,85,56,64,62,24,31,24,20,8,20,13,19,30,22,38,40,23,24,18,24,26,29,48,60,90,134,153,268,197,135,223,181,131,90,,,21,62,126,186,265,353,448,533,589,653,715,739,770,794,814,822,842,855,874,904,926,964,1004,1027,1051,1069,1093,1119,1148,1196,1256,1346,1480,1633,1901,2098,2233,2456,2637,2768,2858,,,48.7,99.8,155.8,146.1,192.4,214.3,231.3,207,136.4,155.8,151,58.4,75.5,58.4,48.7,19.5,48.7,31.7,46.3,73,53.6,92.5,97.4,56,58.4,43.8,58.4,63.3,70.6,116.9,146.1,219.1,326.3,372.6,652.6,479.7,328.7,543,440.7,319,219.1
60660,,,13,19,28,52,67,42,50,40,29,36,31,22,10,22,17,10,25,20,23,17,13,31,19,28,19,17,34,32,22,17,43,64,101,124,163,110,93,123,97,72,51,,,17,36,64,116,183,225,275,315,344,380,411,433,443,465,482,492,517,537,560,577,590,621,640,668,687,704,738,770,792,809,852,916,1017,1141,1304,1414,1507,1630,1727,1799,1850,,,30.1,43.9,64.8,120.3,154.9,97.1,115.6,92.5,67.1,83.3,71.7,50.9,23.1,50.9,39.3,23.1,57.8,46.3,53.2,39.3,30.1,71.7,43.9,64.8,43.9,39.3,78.6,74,50.9,39.3,99.4,148,233.6,286.8,376.9,254.4,215.1,284.4,224.3,166.5,117.9
60661,,,,9,3,2,3,4,3,4,6,2,2,1,1,3,7,5,8,4,20,10,6,5,4,5,5,11,10,6,9,20,25,25,39,54,55,39,22,27,19,19,13,,,,12,15,17,20,24,27,31,37,39,41,42,43,46,53,58,66,70,90,100,106,111,115,120,125,136,146,152,161,181,206,231,270,324,379,418,440,467,486,505,518,,,,90.7,30.2,20.1,30.2,40.3,30.2,40.3,60.4,20.1,20.1,10.1,10.1,30.2,70.5,50.4,80.6,40.3,201.5,100.7,60.4,50.4,40.3,50.4,50.4,110.8,100.7,60.4,90.7,201.5,251.9,251.9,392.9,544,554.1,392.9,221.6,272,191.4,191.4,131
60666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60707,,,,13,16,17,27,51,70,62,41,37,15,16,14,7,9,7,15,9,8,17,19,28,14,20,10,18,14,10,24,27,45,80,93,126,135,114,114,144,105,69,24,,,,14,30,47,74,125,195,257,298,335,350,366,380,387,396,403,418,427,435,452,471,499,513,533,543,561,575,585,609,636,681,761,854,980,1115,1229,1343,1487,1592,1661,1685,,,,30.2,37.2,39.5,62.8,118.6,162.7,144.1,95.3,86,34.9,37.2,32.5,16.3,20.9,16.3,34.9,20.9,18.6,39.5,44.2,65.1,32.5,46.5,23.2,41.8,32.5,23.2,55.8,62.8,104.6,186,216.2,292.9,313.8,265,265,334.7,244.1,160.4,55.8
