zip,cases_weekly_2020-03-01,cases_weekly_2020-03-08,cases_weekly_2020-03-15,cases_weekly_2020-03-22,cases_weekly_2020-03-29,cases_weekly_2020-04-05,cases_weekly_2020-04-12,cases_weekly_2020-04-19,cases_weekly_2020-04-26,cases_weekly_2020-05-03,cases_weekly_2020-05-10,cases_weekly_2020-05-17,cases_weekly_2020-05-24,cases_weekly_2020-05-31,cases_weekly_2020-06-07,cases_weekly_2020-06-14,cases_weekly_2020-06-21,cases_weekly_2020-06-28,cases_weekly_2020-07-05,cases_weekly_2020-07-12,cases_weekly_2020-07-19,cases_weekly_2020-07-26,cases_weekly_2020-08-02,cases_weekly_2020-08-09,cases_weekly_2020-08-16,cases_weekly_2020-08-23,cases_weekly_2020-08-30,cases_weekly_2020-09-06,cases_weekly_2020-09-13,cases_weekly_2020-09-20,cases_weekly_2020-09-27,cases_weekly_2020-10-04,cases_weekly_2020-10-11,cases_weekly_2020-10-18,cases_weekly_2020-10-25,cases_weekly_2020-11-01,cases_weekly_2020-11-08,cases_weekly_2020-11-15,cases_weekly_2020-11-22,cases_weekly_2020-11-29,cases_weekly_2020-12-06,cases_weekly_2020-12-13,cases_weekly_2020-12-20,cases_cumulative_2020-03-01,cases_cumulative_2020-03-08,cases_cumulative_2020-03-15,cases_cumulative_2020-03-22,cases_cumulative_2020-03-29,cases_cumulative_2020-04-05,cases_cumulative_2020-04-12,cases_cumulative_2020-04-19,cases_cumulative_2020-04-26,cases_cumulative_2020-05-03,cases_cumulative_2020-05-10,cases_cumulative_2020-05-17,cases_cumulative_2020-05-24,cases_cumulative_2020-05-31,cases_cumulative_2020-06-07,cases_cumulative_2020-06-14,cases_cumulative_2020-06-21,cases_cumulative_2020-06-28,cases_cumulative_2020-07-05,cases_cumulative_2020-07-12,cases_cumulative_2020-07-19,cases_cumulative_2020-07-26,cases_cumulative_2020-08-02,cases_cumulative_2020-08-09,cases_cumulative_2020-08-16,cases_cumulative_2020-08-23,cases_cumulative_2020-08-30,cases_cumulative_2020-09-06,cases_cumulative_2020-09-13,cases_cumulative_2020-09-20,cases_cumulative_2020-09-27,cases_cumulative_2020-10-04,cases_cumulative_2020-10-11,cases_cumulative_2020-10-18,cases_cumulative_2020-10-25,cases_cumulative_2020-11-01,cases_cumulative_2020-11-08,cases_cumulative_2020-11-15,cases_cumulative_2020-11-22,cases_cumulative_2020-11-29,cases_cumulative_2020-12-06,cases_cumulative_2020-12-13,cases_cumulative_2020-12-20,case_rate_weekly_2020-03-01,case_rate_weekly_2020-03-08,case_rate_weekly_2020-03-15,case_rate_weekly_2020-03-22,case_rate_weekly_2020-03-29,case_rate_weekly_2020-04-05,case_rate_weekly_2020-04-12,case_rate_weekly_2020-04-19,case_rate_weekly_2020-04-26,case_rate_weekly_2020-05-03,case_rate_weekly_2020-05-10,case_rate_weekly_2020-05-17,case_rate_weekly_2020-05-24,case_rate_weekly_2020-05-31,case_rate_weekly_2020-06-07,case_rate_weekly_2020-06-14,case_rate_weekly_2020-06-21,case_rate_weekly_2020-06-28,case_rate_weekly_2020-07-05,case_rate_weekly_2020-07-12,case_rate_weekly_2020-07-19,case_rate_weekly_2020-07-26,case_rate_weekly_2020-08-02,case_rate_weekly_2020-08-09,case_rate_weekly_2020-08-16,case_rate_weekly_2020-08-23,case_rate_weekly_2020-08-30,case_rate_weekly_2020-09-06,case_rate_weekly_2020-09-13,case_rate_weekly_2020-09-20,case_rate_weekly_2020-09-27,case_rate_weekly_2020-10-04,case_rate_weekly_2020-10-11,case_rate_weekly_2020-10-18,case_rate_weekly_2020-10-25,case_rate_weekly_2020-11-01,case_rate_weekly_2020-11-08,case_rate_weekly_2020-11-15,case_rate_weekly_2020-11-22,case_rate_weekly_2020-11-29,case_rate_weekly_2020-12-06,case_rate_weekly_2020-12-13,case_rate_weekly_2020-12-20
60611,,,15,25,16,8,8,8,12,7,15,10,15,9,4,11,12,21,27,17,24,22,18,29,19,19,20,21,24,22,25,33,33,90,108,144,143,126,86,82,60,67,37,,,16,41,57,65,73,81,93,100,115,125,140,149,153,164,176,197,224,241,265,287,305,334,353,372,392,413,437,459,484,517,550,640,748,892,1035,1161,1247,1329,1389,1456,1493,,,46.3,77.1,49.3,24.7,24.7,24.7,37,21.6,46.3,30.8,46.3,27.8,12.3,33.9,37,64.8,83.3,52.4,74,67.8,55.5,89.4,58.6,58.6,61.7,64.8,74,67.8,77.1,101.8,101.8,277.6,333.1,444.1,441,388.6,265.2,252.9,185,206.6,114.1
60612,,,19,62,54,70,64,80,69,86,77,64,26,24,12,7,16,19,26,19,19,17,16,24,18,32,18,16,22,17,16,41,42,93,111,164,234,245,144,180,152,111,64,,,19,81,135,205,269,349,418,504,581,645,671,695,707,714,730,749,775,794,813,830,846,870,888,920,938,954,976,993,1009,1050,1092,1185,1296,1460,1694,1939,2083,2263,2415,2526,2590,,,55.4,180.7,157.4,204,186.5,233.2,201.1,250.6,224.4,186.5,75.8,69.9,35,20.4,46.6,55.4,75.8,55.4,55.4,49.5,46.6,69.9,52.5,93.3,52.5,46.6,64.1,49.5,46.6,119.5,122.4,271.1,323.5,478,682,714.1,419.7,524.6,443,323.5,186.5
60613,,5,25,33,52,33,36,37,66,31,14,17,13,16,14,10,19,27,24,32,28,27,30,20,29,25,32,19,44,35,50,57,94,112,159,200,284,184,125,140,133,93,87,,5,30,63,115,148,184,221,287,318,332,349,362,378,392,402,421,448,472,504,532,559,589,609,638,663,695,714,758,793,843,900,994,1106,1265,1465,1749,1933,2058,2198,2331,2424,2511,,10,49.9,65.9,103.8,65.9,71.8,73.8,131.7,61.9,27.9,33.9,25.9,31.9,27.9,20,37.9,53.9,47.9,63.9,55.9,53.9,59.9,39.9,57.9,49.9,63.9,37.9,87.8,69.8,99.8,113.7,187.6,223.5,317.3,399.1,566.7,367.2,249.4,279.4,265.4,185.6,173.6
60614,,14,24,39,43,52,32,68,96,58,40,16,16,5,15,18,30,49,44,31,40,43,48,38,23,54,46,48,72,47,63,113,114,127,230,348,362,257,176,188,175,129,100,,14,38,77,120,172,204,272,368,426,466,482,498,503,518,536,566,615,659,690,730,773,821,859,882,936,982,1030,1102,1149,1212,1325,1439,1566,1796,2144,2506,2763,2939,3127,3302,3431,3531,,19.6,33.7,54.7,60.3,72.9,44.9,95.4,134.6,81.3,56.1,22.4,22.4,7,21,25.2,42.1,68.7,61.7,43.5,56.1,60.3,67.3,53.3,32.3,75.7,64.5,67.3,101,65.9,88.3,158.5,159.9,178.1,322.5,488,507.7,360.4,246.8,263.6,245.4,180.9,140.2
60615,,,25,31,42,33,39,44,28,31,28,30,21,11,12,12,13,17,26,37,24,20,13,17,11,20,18,6,17,15,8,34,35,40,69,119,139,119,91,94,86,61,46,,,26,57,99,132,171,215,243,274,302,332,353,364,376,388,401,418,444,481,505,525,538,555,566,586,604,610,627,642,650,684,719,759,828,947,1086,1205,1296,1390,1476,1537,1583,,,60.1,74.6,101.1,79.4,93.8,105.9,67.4,74.6,67.4,72.2,50.5,26.5,28.9,28.9,31.3,40.9,62.6,89,57.7,48.1,31.3,40.9,26.5,48.1,43.3,14.4,40.9,36.1,19.2,81.8,84.2,96.2,166,286.3,334.4,286.3,218.9,226.2,206.9,146.8,110.7
60616,,,11,35,52,53,46,39,33,36,57,31,30,18,11,8,23,25,33,23,22,20,24,25,39,32,31,28,24,27,28,37,74,127,129,208,209,190,111,166,119,196,110,,,14,49,101,154,200,239,272,308,365,396,426,444,455,463,486,511,544,567,589,609,633,658,697,729,760,788,812,839,867,904,978,1105,1234,1442,1651,1841,1952,2118,2237,2433,2543,,,20.2,64.3,95.5,97.3,84.5,71.6,60.6,66.1,104.7,56.9,55.1,33,20.2,14.7,42.2,45.9,60.6,42.2,40.4,36.7,44.1,45.9,71.6,58.8,56.9,51.4,44.1,49.6,51.4,67.9,135.9,233.2,236.9,381.9,383.7,348.9,203.8,304.8,218.5,359.9,202
60617,,,22,84,100,89,65,99,152,128,140,131,69,35,42,32,43,43,66,95,92,123,73,81,85,80,68,42,69,55,84,112,169,170,272,393,511,458,286,425,311,232,149,,,24,108,208,297,362,461,613,741,881,1012,1081,1116,1158,1190,1233,1276,1342,1437,1529,1652,1725,1806,1891,1971,2039,2081,2150,2205,2289,2401,2570,2740,3012,3405,3916,4374,4660,5085,5396,5628,5777,,,26.7,101.8,121.2,107.8,78.8,120,184.2,155.1,169.6,158.7,83.6,42.4,50.9,38.8,52.1,52.1,80,115.1,111.5,149,88.4,98.1,103,96.9,82.4,50.9,83.6,66.6,101.8,135.7,204.8,206,329.6,476.2,619.1,554.9,346.5,514.9,376.8,281.1,180.5
60618,,5,16,38,63,94,138,157,134,181,138,141,103,61,55,50,51,37,43,47,37,65,81,91,88,69,84,51,65,64,71,118,162,211,320,390,512,396,281,386,309,212,177,,6,22,60,123,217,355,512,646,827,965,1106,1209,1270,1325,1375,1426,1463,1506,1553,1590,1655,1736,1827,1915,1984,2068,2119,2184,2248,2319,2437,2599,2810,3130,3520,4032,4428,4709,5095,5404,5616,5793,,5.3,17,40.3,66.7,99.6,146.2,166.3,142,191.7,146.2,149.4,109.1,64.6,58.3,53,54,39.2,45.6,49.8,39.2,68.9,85.8,96.4,93.2,73.1,89,54,68.9,67.8,75.2,125,171.6,223.5,339,413.2,542.4,419.5,297.7,408.9,327.3,224.6,187.5
60619,,,28,98,112,96,92,120,82,72,62,60,47,26,26,22,30,32,54,36,43,45,31,34,32,35,28,24,20,26,38,44,61,86,128,196,227,233,117,169,166,141,108,,,31,129,241,337,429,549,631,703,765,825,872,898,924,946,976,1008,1062,1098,1141,1186,1217,1251,1283,1318,1346,1370,1390,1416,1454,1498,1559,1645,1773,1969,2196,2429,2546,2715,2881,3022,3130,,,45.7,160,182.8,156.7,150.2,195.9,133.9,117.5,101.2,97.9,76.7,42.4,42.4,35.9,49,52.2,88.2,58.8,70.2,73.5,50.6,55.5,52.2,57.1,45.7,39.2,32.6,42.4,62,71.8,99.6,140.4,209,320,370.6,380.4,191,275.9,271,230.2,176.3
60620,,4,31,108,136,126,90,185,78,94,80,79,53,37,30,28,25,26,48,64,59,41,62,43,29,34,37,25,28,26,25,43,73,119,178,238,272,220,170,212,200,156,97,,5,36,144,280,406,496,681,759,853,933,1012,1065,1102,1132,1160,1185,1211,1259,1323,1382,1423,1485,1528,1557,1591,1628,1653,1681,1707,1732,1775,1848,1967,2145,2383,2655,2875,3045,3257,3457,3613,3710,,5.9,45.5,158.6,199.7,185,132.2,271.7,114.5,138,117.5,116,77.8,54.3,44.1,41.1,36.7,38.2,70.5,94,86.6,60.2,91,63.1,42.6,49.9,54.3,36.7,41.1,38.2,36.7,63.1,107.2,174.8,261.4,349.5,399.4,323.1,249.6,311.3,293.7,229.1,142.4
60621,,,14,23,54,52,75,55,63,57,51,49,23,19,12,16,9,12,15,12,23,17,18,19,15,11,16,12,13,15,11,21,33,29,58,89,118,107,82,105,106,52,48,,,14,37,91,143,218,273,336,393,444,493,516,535,547,563,572,584,599,611,634,651,669,688,703,714,730,742,755,770,781,802,835,864,922,1011,1129,1236,1318,1423,1529,1581,1629,,,48.2,79.2,185.9,179.1,258.2,189.4,216.9,196.3,175.6,168.7,79.2,65.4,41.3,55.1,31,41.3,51.6,41.3,79.2,58.5,62,65.4,51.6,37.9,55.1,41.3,44.8,51.6,37.9,72.3,113.6,99.9,199.7,306.5,406.3,368.4,282.3,361.5,365,179.1,165.3
60622,,6,22,38,34,69,57,61,91,77,72,59,28,19,16,23,23,36,33,38,40,28,31,41,36,38,28,44,39,62,42,67,110,151,185,328,293,218,164,215,187,141,107,,6,28,66,100,169,226,287,378,455,527,586,614,633,649,672,695,731,764,802,842,870,901,942,978,1016,1044,1088,1127,1189,1231,1298,1408,1559,1744,2072,2365,2583,2747,2962,3149,3290,3397,,11.4,41.7,72,64.4,130.7,108,115.5,172.4,145.9,136.4,111.8,53,36,30.3,43.6,43.6,68.2,62.5,72,75.8,53,58.7,77.7,68.2,72,53,83.3,73.9,117.4,79.6,126.9,208.4,286,350.4,621.3,555,412.9,310.6,407.3,354.2,267.1,202.7
60623,,,12,65,104,144,241,461,679,543,443,346,205,91,65,58,70,58,44,72,59,76,66,79,94,109,66,46,82,95,115,115,173,274,388,523,579,462,383,453,384,307,167,,,12,77,181,325,566,1027,1706,2249,2692,3038,3243,3334,3399,3457,3527,3585,3629,3701,3760,3836,3902,3981,4075,4184,4250,4296,4378,4473,4588,4703,4876,5150,5538,6061,6640,7102,7485,7938,8322,8629,8796,,,14,75.6,121,167.5,280.3,536.2,789.7,631.5,515.2,402.4,238.4,105.8,75.6,67.5,81.4,67.5,51.2,83.7,68.6,88.4,76.8,91.9,109.3,126.8,76.8,53.5,95.4,110.5,133.8,133.8,201.2,318.7,451.3,608.3,673.4,537.3,445.5,526.9,446.6,357.1,194.2
